step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.775,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,17,23,0,0,0.15927375817194317,0.13926775386100795,0.4629241935927738,0.010408859123466117,4,4,0.1,0,0.0,0.0,25.85,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,7,23,0,0,0.1621685576007071,0.14391722978551952,0.4629241935927738,0.010504398321744008,4,4,0.13333333333333333,0,0.0,0.0,24.466666666666665,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.1505893598856514,0.1248080947789153,0.42249825525007495,0.010021683163839184,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999999,20.0,0.23809523809523814,4.000000000000002,0.04761904761904765,60.0,0.7142857142857144,0.0,0.0,0.018958448569915468,0.06666666666666667,0.0,0,4,30,14,40,40,60,32,,,,,,,
2,C,all_agents,,,40,3,13,24,3,0,0.16575178614029804,0.14518560087646887,0.4844072258490629,0.010356396031331016,8,7,0.175,0,0.0,0.0,26.7,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,3,3,24,3,0,0.17051414704709658,0.15179968855618797,0.4844072258490629,0.01051930696764586,8,7,0.23333333333333334,0,0.0,0.0,23.933333333333334,63,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.15146470341990242,0.12418405430502072,0.4203857639738246,0.009595502245507245,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.0,20.0,0.22727272727272727,4.000000000000002,0.04545454545454548,60.0,0.6818181818181818,0.0,0.0,0.01910701831210553,0.06666666666666667,0.0,0,4,22,13,40,40,60,32,3.400000000000001,0.03863636363636364,0.6000000000000001,0.00681818181818182,17,3,
3,C,all_agents,,,40,4,10,26,4,0,0.17201111088499974,0.15166266876089451,0.5050309368151004,0.010565062434872265,9,8,0.2,0,0.0,0.0,28.075,97,,,,,,,,,,,,,,,,,,,,,,,,,,,
