step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,D,reachability,0.625,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,all_agents,,,40,0,17,23,0,0,0.16996585818697815,0.14493107608945974,0.6781302533691556,0.015757607062339588,2,2,0.05,0,0.0,0.0,26.0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,participants_only,,,30,0,7,23,0,0,0.16985173498976827,0.13792030141516864,0.6781302533691556,0.01726406587628932,2,2,0.06666666666666667,0,0.0,0.0,24.666666666666668,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,nonparticipants_only,,,10,0,10,0,0,0,0.17030822777860777,0.16203726149981448,0.4077767250178753,0.011238074331240685,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.49999999999997,19.5,0.23353293413173662,4.000000000000002,0.047904191616766505,60.0,0.7185628742514972,0.0,0.0,0.018657419109995008,0.03333333333333333,0.0,0,2,30,18,39,40,60,29,,,,,,,
2,D,all_agents,,,40,4,11,25,4,0,0.17667718149014042,0.15195311734712602,0.6910050432343894,0.015857363201023687,10,9,0.225,0,0.0,0.0,27.0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,participants_only,,,30,4,1,25,4,0,0.17854391243170287,0.14645491332989125,0.6910050432343894,0.017540130461993382,10,9,0.3,0,0.0,0.0,24.333333333333332,72,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,nonparticipants_only,,,10,0,10,0,0,0,0.17107698866545298,0.1612270751923154,0.40573784139278596,0.010767245205216366,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.3,19.5,0.22595596755504058,4.000000000000002,0.046349942062572445,60.0,0.6952491309385863,0.0,0.0,0.020131968475259165,0.13333333333333333,0.0,0,8,26,17,39,40,60,29,2.6,0.030127462340672075,0.2,0.0023174971031286215,13,1,
3,D,all_agents,,,40,8,11,21,8,0,0.18291074801933832,0.15985863275355955,0.6940949928020455,0.016164955811880457,16,13,0.325,0,0.0,0.0,28.475,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,participants_only,,,30,8,1,21,8,0,0.18660224154669913,0.15776266728353777,0.6940949928020455,0.018058251097152717,16,13,0.43333333333333335,0,0.0,0.0,24.633333333333333,109,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D,nonparticipants_only,,,10,0,10,0,0,0,0.1718362674372559,0.16042093981635383,0.40370915218582204,0.010321544462513122,0,0,0.0,0,0.0,0.0,40.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
