step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
0,C,reachability,0.825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,all_agents,,,40,0,22,18,0,0,0.16173754682002892,0.14550260812443627,0.5866256306861962,0.010404199078216488,1,1,0.025,0,0.0,0.0,25.925,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,participants_only,,,30,0,12,18,0,0,0.16019107343090547,0.14057546728271209,0.5866256306861962,0.010849599305829379,1,1,0.03333333333333333,0,0.0,0.0,24.566666666666666,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,nonparticipants_only,,,10,0,10,0,0,0,0.16637696698739926,0.15192027374758837,0.3909319147402761,0.00903929943605861,0,0,0.0,0,0.0,0.0,30.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.99999999999999,20.0,0.23809523809523814,4.000000000000002,0.04761904761904765,0.0,0.0,60.0,0.7142857142857144,0.01732848489950364,0.016666666666666666,0.0,0,1,21,30,40,40,33,60,,,,,,,
2,C,all_agents,,,40,2,15,23,2,0,0.16805615862365256,0.15334538685148408,0.6031606054587484,0.010377198804612745,7,7,0.175,0,0.0,0.0,26.85,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,participants_only,,,30,2,5,23,2,0,0.16835626461528946,0.15334538685148408,0.6031606054587484,0.010955599318295147,7,7,0.23333333333333334,0,0.0,0.0,24.133333333333333,58,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,nonparticipants_only,,,10,0,10,0,0,0,0.16715584064874187,0.15320371492181212,0.3889772551665747,0.008640916500290946,0,0,0.0,0,0.0,0.0,35.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,step_totals,,,,,,,,,,,,,,,,,,,,,87.79999999999998,20.0,0.22779043280182237,4.000000000000002,0.045558086560364495,0.0,0.0,60.0,0.6833712984054671,0.018709135940882745,0.1,0.0,0,6,21,21,40,40,33,60,3.600000000000001,0.04100227790432804,0.2,0.002277904328018224,18,1,
3,C,all_agents,,,40,3,12,25,3,0,0.1746294862957081,0.16010912919045522,0.6190341812403984,0.010622431502875873,10,9,0.225,0,0.0,0.0,28.275,96,,,,,,,,,,,,,,,,,,,,,,,,,,,
